Name,Gender,LastLetter
Ashutosh,Male,h
Meghamala,Female,a
Sahib,Male,b
Pragya,Female,a
Kranti,Female,i
Tulika,Female,a
Aarushi,Female,i
Abhicandra,Male,a
Pratigya,Female,a
Devak,Male,k
Kashiprasad,Male,d
Madhavi,Female,i
Charusila,Female,a
Chithayu,Male,u
Manmayi,Female,i
Mahajabeen,Female,n
Krishnakumar,Male,r
Kailas,Male,s
Nidhyathi,Female,i
Nainika,Female,a
Madirakshi,Female,i
Adil,Male,l
Devadyumna,Male,a
Harijatha,Female,a
Rupal,Female,l
Eka,Female,a
Ilampirai,Female,i
Soham,Male,m
Acalapati,Male,i
Naveen,Male,n
Jalendu,Male,u
Shrivalli,Female,i
Wajeeh,Male,h
Kumar,Male,r
Sudhan,Male,n
Ilanthirayan,Male,n
Agneya,Male,a
Oma,Female,a
Kali,Female,i
Ajaatshatru,Male,u
Rishabh,Male,h
Hariraj,Male,j
Abhay,Male,y
Gudiya,Female,a
Neelabja,Female,a
Punit,Male,t
Soumil,Male,l
Sarbani,Female,i
Sharvani,Female,i
Tripuri,Female,i
Punita,Male,a
Shandar,Male,r
Naisha,Female,a
Danvir,Male,r
Suday,Male,y
Sonika,Female,a
Mrudu,Female,u
Ramavatar,Male,r
Puji,Female,i
Radhakrishna,Male,a
Jaspal,Male,l
Dhruv,Male,v
Ketan,Male,n
Prama,Female,a
Mannan,Male,n
Kunjabihari,Male,i
Chitrarath,Male,h
Ranjini,Female,i
Tarika,Female,a
Thirumal,Male,l
Muralidhar,Male,r
Muhilan,Male,n
Adrika,Female,a
Arghya,Male,a
Tarak,Male,k
Suhrit,Male,t
Sunetra,Female,a
Jehangir,Male,r
Anshu,Male,u
Chakrika,Female,a
Harmya,Female,a
Sarjana,Female,a
Khushboo,Female,o
Ambalika,Female,a
Rashmika,Female,a
Ayeh,Female,h
Dasharath,Male,h
Jagachandra,Male,a
Irshaad,Male,d
Ritu,Female,u
Subramani,Male,i
Charvi,Female,i
Purushottam,Male,m
Nithilam,Female,m
Vedavrata,Male,a
Jagadayu,Male,u
Durga,Female,a
Ekalavya,Male,a
Dyumna,Female,a
Sampriti,Female,i
Chitrarekha,Female,a
Pari,Female,i
Rajashri,Female,i
Kushik,Male,k
Chumban,Female,n
Ankush,Male,h
Sunayani,Female,i
Deshna,Female,a
Tanuja,Female,a
Nauka,Female,a
Tarunika,Female,a
Kalash,Male,h
Krishi,Female,i
Shrikirti,Female,i
Kartikeya,Male,a
Bulbul,Female,l
Lingappan,Male,n
Adhik,Male,k
Saranya,Female,a
Rambha,Female,a
Anumati,Female,i
Sanjiv,Male,v
Umrao,Female,o
Baidehi,Female,i
Aadarsh,Male,h
Ganjan,Male,n
Devadarshan,Male,n
Kalyani,Female,i
Malaya,Male,a
Ganesh,Male,h
Farha,Female,a
Adesh,Male,h
Pritika,Female,a
Alagan,Male,n
Shridevi,Female,i
Deepinder,Male,r
Gunitha,Female,a
Chanchari,Female,i
Shabab,Female,b
Adya,Female,a
Prapti,Female,i
Nagasri,Female,i
Gandharaj,Male,j
Kilimoli,Female,i
Yatisa,Male,a
Sujata,Female,a
Prasana,Female,a
Kovida,Male,a
Chandani,Female,i
Sabhya,Male,a
Archita,Female,a
Sarwar,Male,r
Madhukar,Male,r
Ramswaroop,Male,p
Uday,Male,y
"Farukh, Farokh",Male,h
Angana,Female,a
Kamitha,Female,a
Brijabala,Female,a
Lalita,Female,a
Vanca,Female,a
Gambheer,Male,r
Anhithi,Female,i
Mehul,Female,l
Vijeta,Female,a
Prashansa,Female,a
Vanajaksi,Female,i
Chandrakin,Female,n
Kshiti,Female,i
Sanemi,Female,i
Swadhinta,Female,a
Mrigankamouli,Male,i
Sneha,Female,a
Kimaya,Female,a
Teertha,Female,a
Amar,Male,r
Kala,Female,a
Priya,Male,a
Abja,Female,a
Niharika,Female,a
Seemanti,Female,i
Kalyan,Male,n
Nikhat,Male,t
Rajanikanta,Male,a
Namacharya,Male,a
Giridari,Male,i
Jag,Male,g
Bibek,Male,k
Chatura,Female,a
Trailokva,Male,a
Naresh,Male,h
Acchindra,Male,a
Fajyaz,Female,z
Labuki,Female,i
Nalika,Female,a
Ahijit,Male,t
Parvani,Female,i
Ramratan,Male,n
Navrang,Male,g
Krishnakanta,Male,a
Kriya,Female,a
Javed,Male,d
Dehabhuj,Male,j
Ekanjeet,Male,t
Kanwaljeet,Male,t
Mitravinda,Female,a
Shaistakhan,Male,n
Sarani,Female,i
Iravan,Male,n
Sudhir,Male,r
Utanka,Male,a
Nipuna,Female,a
Dhitha,Female,a
Madhu,Male,u
Nina,Female,a
Rabhya,Female,a
Jalbhushan,Male,n
Madangopal,Male,l
Avinash,Male,h
Nirupam,Male,m
Vishwanath,Male,h
Amitrasudan,Male,n
Jnanaprakash,Male,h
Sunasi,Male,i
Avnita,Female,a
Shubhranshu,Male,u
Laksh,Male,h
Lalitkishore,Male,e
Chayana,Female,a
Nirvani,Female,i
Kshanika,Female,a
Sanvali,Female,i
Tanay,Male,y
Nibodh,Male,h
Kokila,Female,a
Chitramaya,Female,a
Elil,Male,l
Suneet,Male,t
Srijan,Male,n
Chirag,Male,g
Chitrita,Female,a
Vineet,Male,t
Harish,Male,h
Githika,Female,a
Aditi,Female,i
Kanal,Male,l
Ishat,Male,t
Ecchumati,Female,i
Panna,Female,a
Brahmacharini,Female,i
Iham,Male,m
Mehmood,Male,d
Seemantini,Female,i
Shoorsen,Male,n
Tirthankara,Male,a
Bhupathi,Male,i
Inbanathan,Male,n
Elili,Female,i
Haroon,Male,n
Kalavathi,Female,i
Abdul-Hameed,Male,d
Charita,Female,a
Kotijit,Male,t
Susmita,Female,a
Brinda,Female,a
Daaruk,Male,k
Nilay,Male,y
Shree,Female,e
Mudra,Female,a
Gulab,Female,b
Swaraj,Male,j
Sumati,Female,i
Edhitha,Female,a
Ambuja,Female,a
Shanti,Female,i
Mehboob,Male,b
Shashanka,Male,a
Apparajito,Male,o
Sharvari,Female,i
Tridhara,Female,a
